estado,siglaUF,casosAcumulado,obitosAcumulado,rendimentoDomiciliar,despesaMediaSaude,indiceGini,indicePalma,densidadeDemografica,taxaLetalidade,incidencia,mortalidade
Acre,AC,163770,2058,881.0,60.02,0.56,4.97,5.373590790765712,1.2566404103315625,18569.395703765014,233.35053036788426
Alagoas,AL,340220,7282,729.0,83.19,0.53,3.88,119.86212122844634,2.1403797542766445,10194.294467148706,218.196614866195
Amapá,AP,186326,2169,875.0,70.91,0.51,3.43,5.936172446893664,1.1640887476787996,22031.355123555833,256.46452595447016
Amazonas,AM,639229,14479,837.0,41.14,0.57,4.85,2.6582108486084843,2.2650724544724974,15423.188309985264,349.3463900108985
Bahia,BA,1803101,31638,912.0,115.13,0.56,4.63,26.335173659386864,1.7546438053109614,12123.265253212116,212.72012276690265
Ceará,CE,1471166,28193,945.0,77.7,0.56,4.66,61.33256554106386,1.9163710961237548,16109.87115966377,308.72491452657323
Distrito Federal,DF,909602,11862,2583.0,255.1,0.55,4.52,523.4131489138624,1.3040868423772156,30166.539093705767,393.3978671215958
Espírito Santo,ES,1338054,15100,1440.0,167.76,0.52,3.6,87.22079156669261,1.1285045297125529,33296.106901571424,375.7480746021674
Goiás,GO,1938583,28246,1294.0,123.24,0.46,2.58,20.629880371835277,1.4570436241316467,27621.618972197753,402.4590381163447
Maranhão,MA,496202,11074,633.0,63.61,0.53,4.11,21.463215053364834,2.231752391163276,7013.276409465709,156.5189639671409
Mato Grosso,MT,885608,15119,1369.0,131.63,0.45,2.48,3.857881884044701,1.7071887336157758,25415.888689974305,433.8971882635675
Mato Grosso do Sul,MS,613937,11072,1509.0,142.63,0.48,2.91,7.892960801126777,1.8034423727516018,22092.12281026245,398.4187038005949
Minas Gerais,MG,4209719,65740,1334.0,148.77,0.49,3.02,36.09212060428446,1.561624421962606,19886.44037347244,310.5515095311773
Paraná,PR,2945274,46398,1596.0,113.97,0.48,2.83,57.37087565626276,1.5753373030828373,25759.008889048644,405.79127593360727
Paraíba,PB,711737,10562,908.0,76.39,0.56,4.74,71.1585514007768,1.4839751200232671,17713.1534170025,262.85878967986827
Pará,PA,882253,19129,801.0,54.02,0.53,3.85,6.932859947681108,2.168198917997445,10255.339354970698,222.35615693144086
Pernambuco,PE,1184776,22925,953.0,100.63,0.57,5.08,97.45363109715433,1.934964921639196,12396.85255032635,239.87474823614895
Piauí,PI,431874,8387,830.0,72.75,0.54,4.17,13.020410873075154,1.942001602319195,13194.135328836037,256.23031949815885
Rio Grande do Norte,RN,590374,8957,1032.0,117.1,0.55,4.54,66.40559670968915,1.517173859282421,16834.86590398856,255.41418474056368
Rio Grande do Sul,RS,3045990,42333,1804.0,185.72,0.48,2.86,42.368117620391054,1.389794451065171,26772.664264150553,372.0850023454724
Rio de Janeiro,RJ,2813429,77273,1802.0,124.57,0.55,4.37,394.6233899872527,2.7465772194713285,16295.617077913319,447.5717064342466
Rondônia,RO,486391,7456,1125.0,86.95,0.47,2.85,7.47470488116766,1.5329231009619833,27368.00348858473,419.5304477485969
Roraima,RR,186072,2199,1059.0,35.03,0.58,5.27,2.7085884908519784,1.1818005933187155,30717.064981073396,363.0144561964207
Santa Catarina,SC,2025395,22826,1723.0,141.87,0.42,2.08,74.97653055276761,1.1269900439173592,28268.735934685017,318.58583952518904
Sergipe,SE,362789,6518,964.0,129.44,0.58,5.32,104.84159482463734,1.7966366124661994,15782.382707413248,283.5520660409206
São Paulo,SP,6625989,180484,1902.0,189.49,0.53,3.69,184.99373618863433,2.7238801633990035,14429.71739244861,393.04820968744366
Tocantins,TO,371039,4242,1045.0,51.98,0.53,3.83,5.668664599680336,1.1432760437582032,23589.9943161083,269.69875373998804
